longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,MedianPrice
-117.04,32.62,26,3620,607.0,2000,593,4.9962,NEAR OCEAN,156000
-122.3,37.53,43,1748,366.0,984,371,4.5116,NEAR OCEAN,337800
-117.77,33.85,13,5415,827.0,2061,714,7.3681,<1H OCEAN,353100
-117.04,32.74,33,3880,770.0,2288,805,3.6848,NEAR OCEAN,140700
-119.02,35.43,39,2033,370.0,956,379,3.1736,INLAND,70700
-116.95,32.83,14,12517,2506.0,6389,2333,3.3081,<1H OCEAN,168700
-117.07,32.78,22,922,240.0,1524,235,1.6815,NEAR OCEAN,218800
-117.23,32.8,21,2429,579.0,1011,538,3.225,NEAR OCEAN,229400
-122.18,37.77,42,1180,257.0,877,268,2.8125,NEAR BAY,97300
-117.07,33.14,16,2546,429.0,1683,408,4.7426,<1H OCEAN,160600
-117.78,34.09,32,2643,516.0,1862,478,3.7177,INLAND,177200
-122.15,37.44,52,2063,320.0,774,309,7.2543,NEAR BAY,500001
-120.46,37.29,30,2972,635.0,1940,590,2.3594,INLAND,72300
-122.54,37.93,43,2998,470.0,970,430,5.5385,NEAR BAY,431800
-118.26,33.82,28,5091,1074.0,4753,1033,3.6477,<1H OCEAN,117400
-117.35,33.99,45,131,28.0,89,31,2.6071,INLAND,112500
-122.21,37.77,52,591,173.0,353,137,4.0904,NEAR BAY,80600
-117.68,34.1,11,7392,1796.0,3841,1621,2.8326,INLAND,163000
-122.22,37.82,42,2991,335.0,1018,335,13.499,NEAR BAY,500001
-117.2,33.72,16,5373,1079.0,1573,933,1.9912,<1H OCEAN,98600
-118.1,34.08,37,2894,659.0,1977,636,2.543,<1H OCEAN,208100
-121.95,36.59,22,3553,530.0,1108,441,5.8505,NEAR OCEAN,417100
-121.29,38.63,24,2868,527.0,1284,487,3.3182,INLAND,213000
-122.64,38.25,31,2554,515.0,1507,533,3.8,<1H OCEAN,162600
-121.1,39.15,10,680,143.0,354,140,4.0333,INLAND,161500
-120.57,37.43,39,2235,412.0,1268,402,2.6758,INLAND,74600
-118.13,33.8,36,1026,182.0,505,176,4.3438,<1H OCEAN,233600
-122.06,37.67,22,3882,816.0,1830,743,4.2733,NEAR BAY,180700
-117.96,33.69,17,2500,343.0,1242,368,7.7313,<1H OCEAN,316700
-122.01,37.36,16,1105,354.0,499,324,4.2061,<1H OCEAN,253600
-122.13,37.67,42,3592,703.0,1625,665,3.2434,NEAR BAY,179900
-119.32,36.2,15,1562,275.0,961,287,3.4231,INLAND,83300
-122.24,37.8,52,1586,398.0,1006,335,2.1348,NEAR BAY,140600
-120.9,35.33,16,1576,287.0,595,262,3.588,NEAR OCEAN,266300
-118.49,34.04,48,2381,345.0,859,306,8.0257,<1H OCEAN,500001
-122.3,38.3,44,3690,809.0,1922,736,2.6346,NEAR BAY,139800
-121.44,38.43,3,39320,6210.0,16305,5358,4.9516,INLAND,153700
-117.19,34.03,25,2513,340.0,900,320,6.4962,INLAND,182400
-117.88,33.89,19,3583,911.0,2300,871,3.0214,<1H OCEAN,218400
-122.41,37.76,52,1427,281.0,620,236,1.9944,NEAR BAY,262500
-118.34,34.02,50,1172,261.0,685,260,3.1442,<1H OCEAN,130300
-120.98,37.68,24,705,114.0,347,141,3.1912,INLAND,149600
-119.46,36.91,12,2980,495.0,1184,429,3.9141,INLAND,123900
-121.94,37.31,30,4238,1010.0,1914,972,3.7632,<1H OCEAN,307000
-117.29,33.1,6,6091,1018.0,2064,957,5.1837,NEAR OCEAN,259800
-118.11,33.93,17,1205,347.0,736,342,3.2011,<1H OCEAN,162500
-122.16,37.74,46,1029,181.0,567,211,3.4844,NEAR BAY,129500
-119.11,36.29,18,1666,294.0,859,301,2.6065,INLAND,93800
-118.44,34.07,21,730,263.0,965,224,2.0511,<1H OCEAN,350000
-118.56,34.06,24,2332,349.0,761,325,7.3031,<1H OCEAN,500001
-122.7,38.39,16,4922,1211.0,2557,1088,2.0915,<1H OCEAN,168100
-118.08,34.01,32,1973,401.0,1322,386,3.4861,<1H OCEAN,158100
-117.75,34.04,22,2948,636.0,2600,602,3.125,INLAND,113600
-117.95,33.63,27,891,183.0,513,171,6.0,<1H OCEAN,381500
-122.43,37.76,52,2250,566.0,1051,562,2.8458,NEAR BAY,350000
-118.34,34.19,43,1029,252.0,613,255,2.6827,<1H OCEAN,219900
-117.99,34.12,35,1040,231.0,1040,242,2.5395,INLAND,139200
-118.48,34.33,9,2384,395.0,1697,402,6.0891,<1H OCEAN,270100
-118.36,33.88,22,1388,336.0,930,287,2.7981,<1H OCEAN,275000
-118.24,34.08,52,109,20.0,86,24,4.9844,<1H OCEAN,187500
-117.05,32.77,33,3535,683.0,1568,672,2.8097,NEAR OCEAN,158300
-122.02,37.37,8,5686,1489.0,3250,1329,4.2782,<1H OCEAN,327700
-117.06,32.6,25,1075,238.0,434,234,1.7472,NEAR OCEAN,94600
-121.87,37.66,27,1569,242.0,583,214,5.7519,INLAND,278500
-122.29,37.85,52,477,119.0,218,106,2.5682,NEAR BAY,120000
-121.92,37.33,52,2125,382.0,930,387,5.2831,<1H OCEAN,299500
-118.39,34.16,46,1582,279.0,603,283,5.1169,<1H OCEAN,414300
-118.29,34.16,31,1262,338.0,1019,332,3.7083,<1H OCEAN,241900
-122.28,37.88,52,1193,200.0,506,207,4.1912,NEAR BAY,254500
-117.18,32.75,52,1539,212.0,535,224,5.392,NEAR OCEAN,408500
-121.32,38.54,13,4715,1090.0,2420,1059,2.9693,INLAND,104400
-118.16,33.84,36,2831,573.0,1462,569,3.8646,<1H OCEAN,214600
-119.09,36.22,34,1715,290.0,780,297,3.4306,INLAND,74300
-118.41,34.0,35,1062,305.0,1026,307,2.7153,<1H OCEAN,265500
-117.05,32.82,16,4046,731.0,1684,701,4.2312,<1H OCEAN,197000
-118.25,34.02,32,1375,448.0,1698,432,1.6302,<1H OCEAN,130700
-121.35,38.61,27,3900,776.0,1549,761,2.7788,INLAND,115700
-118.28,33.96,37,1812,500.0,1640,447,1.9348,<1H OCEAN,99100
-117.76,33.84,15,3764,510.0,1448,468,8.7124,<1H OCEAN,410500
-118.26,33.88,36,1212,222.0,775,224,5.5591,<1H OCEAN,136500
-120.56,38.39,20,1326,307.0,563,237,2.6667,INLAND,86600
-117.7,33.6,16,2092,489.0,877,392,3.0461,<1H OCEAN,216900
-117.96,33.72,23,3929,559.0,1858,538,6.8645,<1H OCEAN,318200
-122.14,37.42,46,206,44.0,134,51,4.15,NEAR BAY,265000
-118.47,33.99,50,1568,501.0,764,478,3.015,<1H OCEAN,414300
-122.03,36.97,52,403,72.0,200,73,1.6923,NEAR OCEAN,262500
-121.98,37.53,26,3179,703.0,2142,639,4.1947,<1H OCEAN,222700
-118.2,33.78,52,2662,893.0,3018,763,2.3305,NEAR OCEAN,162500
-118.11,34.15,40,1950,509.0,1038,438,2.6172,<1H OCEAN,196100
-118.25,34.14,13,3487,1131.0,3749,1072,2.1602,<1H OCEAN,221900
-118.39,33.89,30,2532,464.0,1056,419,6.3434,<1H OCEAN,460400
-117.79,33.7,16,6259,1098.0,3785,1114,6.3298,<1H OCEAN,247100
-118.2,33.8,42,4577,1146.0,2749,1094,2.5012,NEAR OCEAN,197500
-122.13,37.75,36,768,93.0,229,93,5.3602,NEAR BAY,330000
-117.92,33.68,25,2017,454.0,1024,428,4.4732,<1H OCEAN,245600
-119.01,35.44,20,3458,651.0,1465,621,2.5806,INLAND,82500
-121.49,38.47,26,6121,1185.0,4224,1105,2.3496,INLAND,68000
-118.93,34.82,8,508,111.0,229,84,4.0332,INLAND,128300
-121.28,38.71,35,3095,594.0,1550,576,3.575,INLAND,113500
-117.95,33.99,24,1219,177.0,610,185,6.7978,<1H OCEAN,325000
-118.03,33.72,24,5203,957.0,2465,946,5.163,<1H OCEAN,261000
-118.31,34.0,52,2709,642.0,1751,613,2.1116,<1H OCEAN,122500
-122.01,37.92,18,2808,337.0,1038,337,8.3956,NEAR BAY,353600
-121.47,38.53,43,3215,725.0,2400,625,1.4625,INLAND,54400
-118.42,34.27,33,1209,341.0,1097,283,1.6295,<1H OCEAN,134300
-117.04,32.66,22,3362,630.0,1471,612,4.1442,NEAR OCEAN,303900
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,<1H OCEAN,337400
-120.99,37.63,21,319,120.0,276,85,2.4792,INLAND,60000
-117.38,33.98,10,642,176.0,462,186,2.1528,INLAND,162500
-121.71,39.41,22,1814,342.0,941,323,2.1728,INLAND,59400
-117.28,34.13,29,2077,577.0,1418,524,1.8281,INLAND,76800
-120.65,37.33,25,1731,311.0,810,266,4.1058,INLAND,107600
-117.31,33.16,4,5846,894.0,2282,801,5.5956,NEAR OCEAN,247800
-122.02,37.96,25,2615,368.0,935,366,6.6727,NEAR BAY,305100
-118.36,33.9,40,1271,276.0,725,234,5.0452,<1H OCEAN,231900
-121.38,36.84,6,3769,669.0,2061,648,4.1875,INLAND,217600
-117.97,33.89,15,3801,542.0,1992,526,9.0683,<1H OCEAN,367400
-122.28,37.81,52,773,143.0,377,115,2.4083,NEAR BAY,98200
-117.38,33.2,26,1427,386.0,974,317,1.3903,NEAR OCEAN,184400
-122.25,37.8,29,2468,864.0,1335,773,1.3929,NEAR BAY,193800
-122.32,38.29,21,1607,356.0,834,352,2.3787,NEAR BAY,177900
-118.19,33.99,42,1429,436.0,1537,389,3.0114,<1H OCEAN,157500
-117.86,33.8,35,1683,347.0,1242,335,3.5172,<1H OCEAN,190400
-117.93,33.75,24,1380,339.0,1472,304,4.2219,<1H OCEAN,162800
-117.98,33.84,35,984,179.0,661,199,5.0747,<1H OCEAN,189600
-119.28,34.45,36,2376,541.0,1505,547,2.4595,<1H OCEAN,197600
-118.29,34.26,33,3177,713.0,1845,612,4.008,<1H OCEAN,191100
-122.07,37.67,38,2104,409.0,1039,394,3.875,NEAR BAY,165300
-122.04,37.99,36,2765,495.0,1478,441,4.125,NEAR BAY,136200
-119.7,34.36,35,1604,334.0,904,337,4.7411,NEAR OCEAN,336400
-119.81,36.8,29,2806,552.0,1242,540,3.5958,INLAND,88800
-118.46,34.16,38,1495,300.0,598,280,3.4698,<1H OCEAN,265400
-123.1,39.36,19,1056,248.0,611,226,1.746,INLAND,105000
-119.23,34.15,18,6213,1188.0,2679,1000,3.748,NEAR OCEAN,380400
-117.68,34.05,25,1859,463.0,1070,374,2.5395,INLAND,187500
-120.71,37.39,40,680,160.0,785,175,2.6058,INLAND,72700
-121.84,37.35,20,3375,867.0,4610,860,2.6894,<1H OCEAN,182200
-118.33,34.11,37,2330,434.0,846,457,8.2335,<1H OCEAN,430200
-117.27,32.84,34,1655,450.0,870,411,3.2109,NEAR OCEAN,376000
-119.62,36.59,17,2287,390.0,1330,393,4.0197,INLAND,88000
-119.31,36.34,32,1893,453.0,1744,425,1.4729,INLAND,54100
-119.87,36.72,30,1584,316.0,984,300,2.0658,INLAND,67900
-117.27,32.84,26,3940,657.0,1180,600,6.1025,NEAR OCEAN,500001
-118.25,33.95,25,764,200.0,801,220,1.1384,<1H OCEAN,100000
-122.01,38.25,16,1081,181.0,792,184,4.6779,INLAND,131300
-121.86,37.4,19,4043,764.0,2196,708,6.1504,<1H OCEAN,268400
-120.57,34.96,38,1145,297.0,1107,296,2.1776,NEAR OCEAN,89100
-121.78,39.71,8,140,28.0,84,29,2.125,INLAND,179200
-121.31,37.96,52,2654,468.0,1157,494,3.226,INLAND,107600
-119.85,36.77,27,1510,344.0,847,295,2.9315,INLAND,83200
-118.2,34.14,52,2090,466.0,1219,390,4.0909,<1H OCEAN,204200
-122.18,37.71,45,726,147.0,519,135,3.375,NEAR BAY,157500
-118.29,33.98,42,2833,768.0,2542,725,1.3479,<1H OCEAN,100000
-122.46,37.72,45,2399,419.0,1225,399,4.0855,NEAR OCEAN,244100
-118.11,34.12,48,2476,313.0,900,303,10.6767,<1H OCEAN,500001
-118.14,34.08,24,2999,786.0,2937,796,2.9405,<1H OCEAN,217800
-118.34,34.12,41,3257,679.0,1237,638,4.2415,<1H OCEAN,409600
-118.32,33.91,34,3041,677.0,1920,640,4.5304,<1H OCEAN,181300
-118.64,34.22,25,2762,410.0,1166,439,6.8643,<1H OCEAN,333700
-122.31,38.32,35,3997,762.0,2074,703,3.285,NEAR BAY,138100
-117.07,32.71,39,2754,652.0,2263,619,2.2454,NEAR OCEAN,89600
-122.22,37.8,52,2183,465.0,1129,460,3.2632,NEAR BAY,227700
-118.29,33.74,29,1503,411.0,1368,390,2.1473,NEAR OCEAN,195300
-118.12,34.18,44,2357,342.0,891,337,6.3467,INLAND,352700
-121.5,38.49,32,4013,725.0,2032,675,3.3689,INLAND,83400
-117.97,33.69,21,4112,580.0,1886,581,6.799,<1H OCEAN,292000
-121.94,38.02,29,5765,1170.0,3266,1131,2.7907,INLAND,113900
-117.87,34.02,16,3552,575.0,2120,573,6.4333,<1H OCEAN,271500
-117.63,34.11,30,2674,428.0,1404,456,4.2969,INLAND,165600
-119.67,34.42,23,1333,393.0,1369,381,2.5947,<1H OCEAN,232600
-117.34,34.46,9,5983,1122.0,3515,1064,3.1505,INLAND,102000
-119.27,35.87,12,972,269.0,1134,286,1.63,INLAND,49500
-117.9,33.87,34,1411,292.0,1040,299,3.4338,<1H OCEAN,195200
-122.39,37.58,36,6026,852.0,2314,892,7.8997,NEAR OCEAN,500001
-118.37,33.81,36,2031,339.0,817,337,5.1271,NEAR OCEAN,458300
-121.33,38.63,23,1947,409.0,866,400,2.7181,INLAND,156800
-118.02,34.1,36,452,80.0,248,83,1.9688,INLAND,226000
-121.84,39.72,52,1457,389.0,802,342,0.9566,INLAND,69000
-118.48,34.23,35,1963,310.0,919,297,4.7583,<1H OCEAN,258600
-121.34,38.65,27,1595,246.0,610,253,4.6,INLAND,199000
-121.57,39.1,28,1442,333.0,832,286,1.8413,INLAND,62300
-121.66,36.67,40,2497,520.0,1275,508,3.1071,<1H OCEAN,193100
-121.62,37.61,26,1786,306.0,771,279,5.7239,INLAND,430600
-119.62,36.56,30,1722,372.0,1467,403,1.8878,INLAND,51600
-119.98,38.92,27,2682,606.0,1010,399,3.15,INLAND,86900
-121.47,38.55,24,979,287.0,546,291,1.186,INLAND,67000
-119.95,37.47,32,1312,315.0,600,265,1.5,INLAND,91500
-117.7,34.06,7,732,145.0,431,132,2.9107,INLAND,95300
-122.06,38.26,36,1248,221.0,672,222,3.3839,INLAND,105900
-117.07,32.75,37,2690,549.0,1219,524,2.3148,NEAR OCEAN,154200
-117.16,32.75,34,1785,558.0,804,490,2.2687,NEAR OCEAN,200000
-116.99,32.72,13,1330,216.0,719,215,3.8295,<1H OCEAN,149600
-121.99,37.54,18,3584,715.0,1673,661,3.9444,<1H OCEAN,240100
-117.06,33.02,17,2635,389.0,994,359,5.8966,<1H OCEAN,261500
-117.8,34.1,17,5153,1164.0,2949,1083,3.5603,INLAND,174600
-121.77,37.24,12,10236,1878.0,5674,1816,4.747,<1H OCEAN,261100
-118.45,33.99,26,1919,405.0,953,371,6.0672,<1H OCEAN,420800
-118.3,33.82,25,2659,765.0,2629,726,2.6368,<1H OCEAN,175900
-121.94,37.27,23,1932,552.0,997,482,3.662,<1H OCEAN,211900
-122.41,37.63,35,865,226.0,602,217,3.0,NEAR OCEAN,229100
-122.46,37.75,26,2192,438.0,954,456,4.5352,NEAR BAY,374200
-117.08,32.69,36,1571,284.0,1001,268,3.6875,NEAR OCEAN,111400
-118.44,34.28,32,527,146.0,582,143,1.7708,<1H OCEAN,138800
-117.68,35.64,15,3253,573.0,1408,586,5.2043,INLAND,95700
-122.08,37.24,21,427,63.0,182,70,11.3283,<1H OCEAN,500001
-122.23,37.82,52,1611,203.0,556,179,8.7477,NEAR BAY,500001
-121.29,37.95,52,288,86.0,272,54,0.696,INLAND,42500
-123.2,39.14,17,1620,396.0,878,399,1.8042,<1H OCEAN,109200
-118.1,33.93,36,1124,217.0,707,234,4.375,<1H OCEAN,174500
