season,mnth,weekday,weathersit,yr,hr,holiday,workingday,temp,atemp,hum,windspeed,cnt
summer,Sep,Sun,rain,2012,19,0,0,28.660000000000004,32.9984,62.0,0.0,392
spring,Mar,Fri,rain,2011,15,0,1,6.1,1.9982000000000009,87.0,19.9995,65
fall,Dec,Sun,cloudy,2011,4,0,0,4.220000000000001,1.9982000000000009,65.0,7.0015,3
fall,Dec,Wed,clear,2012,13,0,1,15.5,15.9968,42.0,19.0012,286
fall,Dec,Sat,clear,2011,6,0,1,2.34,1.9982000000000009,80.0,0.0,87
spring,Apr,Sun,cloudy,2011,2,0,0,12.68,13.0004,54.0,15.0013,65
fall,Oct,Wed,clear,2011,15,0,1,19.26,20.003,56.00000000000001,19.0012,194
spring,Apr,Wed,clear,2012,16,0,1,23.96,24.9992,22.0,23.9994,370
summer,Sep,Fri,cloudy,2011,16,0,1,17.380000000000003,18.0032,77.0,31.0009,222
spring,Apr,Fri,clear,2011,4,0,1,7.98,5.997799999999998,76.0,12.998,1
spring,May,Thu,clear,2011,19,0,1,18.320000000000004,18.9998,52.0,8.9981,401
fall,Dec,Wed,cloudy,2012,4,0,1,10.8,11.000600000000002,87.0,8.9981,7
winter,Mar,Tue,clear,2011,3,0,1,1.4000000000000004,-6.001,80.0,39.0007,1
fall,Nov,Sun,clear,2011,9,0,0,5.160000000000002,1.0015999999999998,52.0,19.9995,142
summer,Jul,Tue,clear,2012,16,0,1,28.660000000000004,30.001999999999995,40.0,19.0012,413
spring,May,Sun,clear,2011,13,0,0,20.2,24.9992,35.0,19.0012,436
fall,Oct,Wed,clear,2012,9,0,1,14.56,15.0002,55.00000000000001,16.997899999999998,355
summer,Jul,Mon,clear,2011,8,0,0,27.72,30.001999999999995,55.00000000000001,15.0013,142
summer,Sep,Thu,cloudy,2012,3,0,1,16.44,17.0,63.0,16.997899999999998,5
summer,Jul,Sun,clear,2011,17,0,0,34.300000000000004,36.001400000000004,29.0,7.0015,302
fall,Oct,Mon,cloudy,2012,7,0,0,15.5,15.9968,59.0,19.9995,65
fall,Oct,Sat,rain,2011,20,0,1,7.98,5.001199999999997,61.0,15.0013,143
spring,Apr,Fri,clear,2011,2,0,1,15.5,15.9968,42.0,26.0027,13
winter,Mar,Tue,clear,2012,8,0,1,7.98,5.997799999999998,61.0,8.9981,564
summer,Sep,Sun,clear,2011,6,0,0,19.26,20.003,94.0,11.0014,6
spring,Apr,Thu,clear,2012,5,0,1,7.98,7.9975999999999985,66.0,0.0,24
winter,Jan,Sun,clear,2012,3,0,0,7.040000000000001,5.997799999999998,56.99999999999999,7.0015,20
spring,May,Mon,cloudy,2011,11,0,0,23.020000000000003,24.0026,83.0,19.0012,319
fall,Dec,Sun,clear,2012,16,0,0,10.8,11.000600000000002,50.0,8.9981,413
winter,Feb,Mon,clear,2012,15,0,0,8.919999999999998,7.000999999999998,29.0,0.0,353
fall,Oct,Wed,clear,2011,8,0,1,12.68,13.0004,72.0,0.0,408
summer,Jun,Fri,clear,2011,6,0,1,25.84,30.001999999999995,74.0,11.0014,100
spring,Mar,Thu,rain,2011,5,0,1,7.040000000000001,5.001199999999997,87.0,12.998,10
winter,Dec,Sun,cloudy,2012,21,0,0,5.160000000000002,-0.0015999999999998,56.00000000000001,32.9975,60
winter,Feb,Sun,clear,2012,19,0,0,4.220000000000001,-2.0013999999999985,33.0,30.0026,149
summer,Jul,Tue,cloudy,2011,21,1,0,26.78,28.9988,62.0,7.0015,457
spring,Apr,Tue,clear,2012,7,0,1,10.8,11.000600000000002,50.0,12.998,349
spring,Jun,Sat,clear,2012,2,0,1,18.320000000000004,18.9998,56.00000000000001,0.0,19
spring,May,Wed,clear,2011,17,0,1,24.9,26.998999999999995,61.0,7.0015,548
summer,Sep,Thu,clear,2012,8,0,1,18.320000000000004,18.9998,64.0,7.0015,770
fall,Nov,Tue,rain,2011,22,0,1,10.8,11.000600000000002,87.0,8.9981,78
summer,Aug,Sun,clear,2012,13,0,0,29.6,32.9984,49.0,23.9994,569
winter,Feb,Thu,cloudy,2012,12,0,1,5.160000000000002,1.0015999999999998,65.0,19.0012,138
fall,Sep,Sat,clear,2011,5,0,1,16.44,17.0,83.0,12.998,26
winter,Feb,Thu,clear,2011,19,0,1,7.98,5.001199999999997,53.0,15.0013,161
fall,Nov,Mon,cloudy,2012,6,0,0,2.34,-0.0015999999999998,47.0,7.0015,11
summer,Aug,Fri,clear,2012,16,0,1,29.6,32.0018,43.0,11.0014,482
fall,Dec,Fri,clear,2011,21,0,1,15.5,15.9968,63.0,19.9995,155
fall,Sep,Fri,cloudy,2012,20,0,1,22.08,24.0026,69.0,15.0013,457
winter,Feb,Wed,clear,2011,19,0,1,-0.4799999999999995,-8.0008,40.0,31.0009,101
winter,Jan,Mon,clear,2012,21,0,0,5.160000000000002,1.9982000000000009,56.00000000000001,15.0013,91
summer,Jun,Wed,cloudy,2011,5,0,1,20.2,20.003,88.0,8.9981,25
summer,Jun,Fri,clear,2011,5,0,1,19.26,20.003,64.0,16.997899999999998,25
winter,Feb,Sat,clear,2012,22,0,1,10.8,11.000600000000002,37.0,39.0007,106
summer,Jul,Mon,clear,2011,10,0,0,31.48,32.9984,36.0,11.0014,254
fall,Nov,Fri,cloudy,2012,18,0,1,8.919999999999998,7.000999999999998,56.99999999999999,12.998,573
spring,May,Tue,clear,2011,10,1,0,29.6,34.0016,55.00000000000001,16.997899999999998,269
summer,Jul,Sat,clear,2011,10,0,1,34.300000000000004,44.9972,53.0,6.0032,115
fall,Dec,Mon,clear,2011,12,0,0,4.220000000000001,1.0015999999999998,60.0,15.0013,228
summer,Aug,Mon,clear,2012,22,0,0,25.84,30.001999999999995,79.0,6.0032,157
summer,Aug,Sun,clear,2012,6,0,0,24.9,28.002199999999995,84.0,15.0013,49
winter,Jan,Mon,clear,2012,8,0,0,4.220000000000001,1.9982000000000009,87.0,7.0015,14
spring,Mar,Sat,cloudy,2011,23,0,1,4.220000000000001,-0.0015999999999998,38.0,19.0012,39
summer,Aug,Wed,clear,2012,15,0,1,27.72,28.002199999999995,37.0,0.0,302
fall,Oct,Fri,clear,2012,15,0,1,25.84,28.002199999999995,54.0,19.0012,325
winter,Mar,Wed,clear,2011,14,0,1,7.040000000000001,5.997799999999998,36.0,8.9981,79
spring,Apr,Thu,cloudy,2012,21,0,1,11.739999999999998,11.997200000000005,82.0,6.0032,189
spring,Jun,Wed,cloudy,2012,12,0,1,17.380000000000003,18.0032,56.00000000000001,15.0013,247
winter,Feb,Wed,cloudy,2011,13,0,1,3.28,-2.9979999999999998,32.0,30.0026,50
spring,May,Wed,cloudy,2011,6,0,1,19.26,20.003,94.0,12.998,112
summer,Jul,Mon,rain,2011,3,0,0,23.96,26.002399999999994,65.0,6.0032,33
fall,Oct,Fri,clear,2011,18,0,1,17.380000000000003,18.0032,64.0,6.0032,538
spring,Jun,Thu,clear,2011,3,0,1,23.96,26.002399999999994,89.0,12.998,6
spring,Apr,Sun,cloudy,2011,23,0,0,12.68,13.0004,77.0,19.0012,35
spring,Apr,Thu,clear,2012,2,0,1,7.040000000000001,3.998000000000001,45.0,19.0012,2
spring,May,Fri,clear,2012,9,0,1,23.020000000000003,24.9992,47.0,16.997899999999998,311
winter,Jan,Thu,clear,2011,7,0,1,-1.419999999999999,-6.001,69.0,8.9981,54
winter,Jan,Tue,cloudy,2012,22,1,0,6.1,1.9982000000000009,49.0,23.9994,43
fall,Nov,Mon,clear,2012,10,0,0,7.98,3.998000000000001,66.0,19.9995,329
fall,Oct,Sat,cloudy,2012,7,0,1,16.44,17.0,88.0,7.0015,421
fall,Nov,Thu,clear,2011,14,0,1,15.5,15.9968,45.0,11.0014,172
summer,Jul,Sat,clear,2012,7,0,1,28.660000000000004,30.001999999999995,46.0,8.9981,353
spring,Apr,Thu,clear,2011,22,0,1,13.62,13.997,41.0,19.0012,84
winter,Feb,Tue,clear,2011,4,0,1,1.4000000000000004,1.0015999999999998,86.0,0.0,2
winter,Jan,Tue,clear,2012,4,1,0,5.160000000000002,1.0015999999999998,45.0,22.0028,4
spring,May,Thu,clear,2012,2,0,1,18.320000000000004,18.9998,94.0,12.998,19
fall,Oct,Mon,clear,2012,6,0,0,10.8,11.000600000000002,62.0,0.0,26
fall,Nov,Sat,clear,2011,10,0,1,4.220000000000001,-0.0015999999999998,41.0,19.0012,115
summer,Jul,Fri,clear,2011,21,0,1,30.54,42.9974,75.0,15.0013,225
winter,Feb,Thu,rain,2011,22,0,1,-0.4799999999999995,-4.997800000000002,80.0,11.0014,46
fall,Oct,Fri,rain,2011,12,0,1,15.5,15.9968,88.0,8.9981,53
spring,Apr,Sat,clear,2011,15,1,0,17.380000000000003,18.0032,52.0,30.0026,162
summer,Sep,Wed,rain,2012,2,0,1,20.2,18.0032,94.0,12.998,4
spring,May,Sat,clear,2011,15,0,1,20.2,24.9992,38.0,26.0027,260
winter,Mar,Mon,clear,2012,8,0,0,2.34,-0.9982000000000006,69.0,8.9981,72
winter,Jan,Sat,cloudy,2012,4,0,1,10.8,11.000600000000002,100.0,19.9995,4
winter,Jan,Sun,clear,2012,10,0,0,5.160000000000002,3.998000000000001,75.0,6.0032,203
summer,Sep,Thu,clear,2012,15,0,1,25.84,26.998999999999995,37.0,8.9981,318
fall,Nov,Sun,clear,2012,22,0,0,3.28,-0.9982000000000006,44.0,16.997899999999998,76
winter,Feb,Sat,clear,2012,0,0,1,7.040000000000001,3.0014000000000003,53.0,26.0027,38
fall,Oct,Mon,cloudy,2011,19,0,0,9.86,9.9974,76.0,11.0014,162
spring,Mar,Sat,clear,2012,3,0,1,16.44,17.0,88.0,7.0015,10
spring,Apr,Mon,clear,2011,9,0,0,10.8,11.000600000000002,43.0,19.0012,102
winter,Dec,Fri,clear,2011,20,0,1,5.160000000000002,3.0014000000000003,65.0,7.0015,96
winter,Jan,Thu,clear,2011,22,0,1,6.1,3.998000000000001,52.0,11.0014,59
spring,May,Mon,clear,2011,12,0,0,20.2,24.9992,46.0,6.0032,382
summer,Jul,Wed,clear,2011,11,0,1,30.54,34.998200000000004,52.0,11.0014,125
fall,Oct,Sun,clear,2012,10,0,0,17.380000000000003,18.0032,73.0,19.0012,479
fall,Oct,Sun,clear,2011,17,0,0,21.14,24.9992,50.0,8.9981,393
summer,Sep,Thu,clear,2011,16,0,1,27.72,30.001999999999995,52.0,19.0012,277
spring,Apr,Sun,clear,2012,16,0,0,24.9,26.002399999999994,42.0,22.0028,639
winter,Mar,Tue,cloudy,2012,17,0,1,21.14,24.9992,38.0,27.9993,644
summer,Sep,Sun,clear,2011,13,0,0,24.9,26.998999999999995,65.0,15.0013,353
fall,Oct,Thu,rain,2011,19,0,1,17.380000000000003,18.0032,94.0,8.9981,109
fall,Oct,Wed,clear,2011,23,0,1,12.68,13.0004,72.0,8.9981,94
summer,Jul,Mon,clear,2012,14,0,0,35.24,38.997800000000005,33.0,16.997899999999998,444
fall,Oct,Thu,rain,2011,18,0,1,17.380000000000003,18.0032,94.0,8.9981,172
summer,Aug,Mon,cloudy,2012,19,0,0,22.08,22.0028,89.0,11.0014,292
winter,Jan,Sun,clear,2012,22,0,0,-0.4799999999999995,-6.9976,47.0,23.9994,66
fall,Nov,Mon,cloudy,2011,8,0,0,5.160000000000002,3.998000000000001,87.0,6.0032,90
spring,Mar,Thu,clear,2012,22,0,1,16.44,17.0,83.0,11.0014,197
spring,Mar,Tue,clear,2012,2,0,1,13.62,13.997,88.0,15.0013,20
winter,Dec,Sat,clear,2011,6,0,1,3.28,1.0015999999999998,70.0,6.0032,32
summer,Jul,Fri,clear,2011,1,0,1,23.020000000000003,22.9994,89.0,12.998,16
spring,May,Fri,clear,2011,21,0,1,15.5,15.9968,36.0,12.998,180
summer,Aug,Wed,clear,2011,4,0,1,23.020000000000003,24.9992,74.0,7.0015,10
summer,Jul,Sun,clear,2012,20,0,0,25.84,30.9986,84.0,6.0032,356
summer,Aug,Wed,clear,2011,4,0,1,22.08,24.0026,69.0,19.9995,5
summer,Aug,Sat,clear,2012,20,0,1,29.6,32.9984,49.0,8.9981,356
spring,Jun,Sun,clear,2012,14,0,0,22.08,24.9992,38.0,19.9995,647
fall,Nov,Wed,rain,2011,13,0,1,11.739999999999998,11.997200000000005,100.0,6.0032,26
fall,Dec,Sat,clear,2011,16,0,1,11.739999999999998,11.997200000000005,41.0,6.0032,276
winter,Mar,Tue,cloudy,2011,14,0,1,9.86,9.9974,34.0,0.0,79
spring,Apr,Mon,clear,2011,10,0,0,20.2,22.0028,78.0,11.0014,289
summer,Aug,Tue,clear,2012,8,0,1,23.020000000000003,24.0026,83.0,6.0032,699
summer,Aug,Fri,clear,2011,2,0,1,23.96,26.002399999999994,69.0,26.0027,5
summer,Jul,Wed,clear,2011,14,0,1,34.300000000000004,40.001000000000005,42.0,19.9995,124
summer,Jul,Wed,clear,2012,5,0,1,23.020000000000003,24.0026,83.0,7.0015,50
summer,Jul,Wed,clear,2011,0,0,1,26.78,30.001999999999995,66.0,7.0015,51
winter,Mar,Wed,rain,2011,21,0,1,7.040000000000001,5.997799999999998,81.0,7.0015,55
spring,Jun,Thu,clear,2011,15,0,1,27.72,28.002199999999995,27.0,0.0,164
spring,Jun,Sun,clear,2012,12,0,0,21.14,24.9992,43.0,23.9994,668
summer,Jun,Thu,clear,2011,13,0,1,29.6,30.001999999999995,31.0,22.0028,231
spring,Jun,Tue,clear,2012,5,0,1,22.08,22.9994,78.0,8.9981,37
summer,Jul,Sun,clear,2011,7,0,0,29.6,32.9984,52.0,7.0015,45
spring,May,Tue,clear,2011,8,0,1,20.2,20.003,88.0,12.998,409
winter,Mar,Fri,clear,2011,11,0,1,12.68,13.0004,54.0,19.0012,86
spring,Mar,Thu,clear,2012,23,0,1,17.380000000000003,18.0032,77.0,0.0,125
spring,Jun,Tue,cloudy,2012,13,0,1,29.6,30.9986,41.0,19.9995,248
winter,Feb,Thu,rain,2012,18,0,1,3.28,1.0015999999999998,87.0,7.0015,167
spring,May,Mon,cloudy,2011,7,0,0,21.14,20.9996,88.0,16.997899999999998,30
spring,Mar,Sun,cloudy,2012,6,0,0,8.919999999999998,7.000999999999998,87.0,11.0014,23
summer,Sep,Mon,cloudy,2012,19,0,0,24.9,28.002199999999995,84.0,15.0013,292
summer,Aug,Thu,clear,2012,1,0,1,21.14,22.9994,78.0,0.0,21
spring,Apr,Mon,rain,2012,0,0,0,8.919999999999998,7.000999999999998,81.0,8.9981,36
fall,Dec,Fri,clear,2011,21,0,1,5.160000000000002,3.998000000000001,61.0,6.0032,139
summer,Aug,Sun,clear,2011,10,0,0,25.84,28.9988,62.0,7.0015,306
winter,Dec,Mon,clear,2011,20,0,0,7.040000000000001,5.997799999999998,49.0,6.0032,26
summer,Aug,Thu,clear,2011,18,0,1,24.9,26.998999999999995,51.0,15.0013,565
winter,Jan,Tue,cloudy,2011,4,1,0,0.4599999999999991,-2.9979999999999998,43.0,8.9981,3
spring,May,Mon,clear,2011,2,0,0,21.14,20.9996,88.0,7.0015,61
winter,Feb,Sun,clear,2012,15,0,0,11.739999999999998,11.997200000000005,41.0,16.997899999999998,499
winter,Feb,Mon,clear,2011,20,0,0,5.160000000000002,3.0014000000000003,61.0,7.0015,26
winter,Feb,Wed,cloudy,2011,17,0,1,3.28,3.0014000000000003,75.0,0.0,176
summer,Jun,Wed,rain,2011,2,0,1,21.14,22.0028,83.0,11.0014,6
spring,Apr,Tue,clear,2011,13,0,1,24.9,26.998999999999995,65.0,15.0013,203
winter,Jan,Wed,cloudy,2012,6,0,1,0.4599999999999991,-4.001200000000001,93.0,12.998,79
fall,Nov,Thu,clear,2012,2,0,1,5.160000000000002,3.0014000000000003,87.0,7.0015,8
summer,Aug,Sat,clear,2011,19,0,1,25.84,30.001999999999995,79.0,7.0015,290
summer,Jul,Thu,rain,2011,15,0,1,22.08,20.9996,94.0,8.9981,46
spring,May,Mon,cloudy,2012,21,0,0,22.08,24.9992,53.0,12.998,169
fall,Oct,Wed,clear,2012,7,0,1,11.739999999999998,11.997200000000005,67.0,6.0032,525
spring,Apr,Thu,clear,2012,1,0,1,7.98,5.001199999999997,39.0,19.0012,12
winter,Jan,Mon,clear,2011,23,0,0,-2.3600000000000003,-6.9976,50.0,12.998,6
spring,Apr,Wed,cloudy,2011,7,0,1,17.380000000000003,18.0032,68.0,15.0013,189
fall,Nov,Fri,cloudy,2012,5,0,1,6.1,3.0014000000000003,61.0,15.0013,37
spring,May,Fri,cloudy,2011,16,0,1,22.08,24.9992,56.99999999999999,16.997899999999998,288
summer,Aug,Mon,clear,2012,1,0,0,21.14,22.9994,78.0,8.9981,113
winter,Jan,Tue,clear,2012,18,1,0,4.220000000000001,-0.0015999999999998,33.0,16.997899999999998,126
spring,Jun,Fri,clear,2011,19,0,1,21.14,22.0028,83.0,19.0012,327
spring,Mar,Wed,clear,2012,8,0,1,2.34,-2.0013999999999985,37.0,19.9995,581
summer,Sep,Fri,cloudy,2011,17,0,1,23.020000000000003,24.0026,78.0,6.0032,563
winter,Feb,Thu,clear,2012,3,0,1,5.160000000000002,5.001199999999997,75.0,0.0,3
spring,Mar,Sun,clear,2011,9,0,0,3.28,-0.0015999999999998,41.0,8.9981,100
fall,Nov,Tue,clear,2012,2,1,0,10.8,11.000600000000002,76.0,8.9981,20
fall,Nov,Mon,clear,2011,14,0,0,16.44,17.0,63.0,16.997899999999998,363
summer,Jul,Mon,clear,2012,7,0,0,24.9,28.002199999999995,79.0,6.0032,47
fall,Sep,Mon,rain,2011,3,0,0,20.2,18.0032,94.0,0.0,59
summer,Aug,Tue,rain,2012,7,0,1,25.84,28.9988,70.0,12.998,407
spring,Jun,Sun,clear,2012,1,0,0,22.08,24.9992,53.0,6.0032,123
winter,Jan,Sat,clear,2011,6,0,1,2.34,-2.0013999999999985,55.00000000000001,16.997899999999998,27
winter,Feb,Fri,clear,2011,19,0,1,1.4000000000000004,1.0015999999999998,40.0,0.0,96
winter,Jan,Fri,clear,2012,1,0,1,-1.419999999999999,-6.001,50.0,11.0014,5
winter,Jan,Sat,clear,2012,22,0,1,1.4000000000000004,-4.001200000000001,47.0,22.0028,65
fall,Dec,Wed,clear,2011,1,0,1,1.4000000000000004,1.0015999999999998,80.0,0.0,4
fall,Sep,Sat,clear,2011,7,0,1,16.44,17.0,83.0,15.0013,297
fall,Oct,Sun,clear,2011,2,0,0,13.62,13.997,63.0,27.9993,67
summer,Jun,Sun,cloudy,2011,23,0,0,23.020000000000003,24.9992,50.0,19.9995,179
winter,Feb,Thu,clear,2011,11,0,1,7.98,3.998000000000001,34.0,19.9995,66
summer,Jul,Sat,clear,2012,13,0,1,31.48,34.998200000000004,47.0,19.0012,314
winter,Feb,Sun,cloudy,2012,23,0,0,3.28,-0.0015999999999998,87.0,8.9981,70
fall,Dec,Tue,clear,2012,13,0,1,19.26,20.003,56.00000000000001,6.0032,321
fall,Dec,Sat,clear,2012,7,0,1,1.4000000000000004,-2.0013999999999985,72.0,7.0015,308
fall,Nov,Sat,clear,2012,3,0,1,7.040000000000001,3.0014000000000003,53.0,27.9993,9
fall,Dec,Sun,clear,2011,12,0,0,7.040000000000001,3.0014000000000003,45.0,27.9993,283
fall,Nov,Fri,clear,2011,23,0,1,4.220000000000001,1.0015999999999998,52.0,15.0013,58
summer,Aug,Sun,clear,2012,18,0,0,32.42,36.001400000000004,41.0,22.0028,490
winter,Feb,Fri,clear,2011,9,0,1,-2.3600000000000003,-8.997399999999999,42.0,23.9994,122
spring,May,Sun,clear,2012,2,0,0,15.5,15.9968,51.0,7.0015,69
summer,Aug,Sat,clear,2012,2,0,1,23.96,26.002399999999994,79.0,15.0013,14
summer,Sep,Thu,clear,2012,12,0,1,20.2,24.9992,43.0,16.997899999999998,313
summer,Jul,Tue,clear,2011,14,0,1,30.54,36.001400000000004,56.00000000000001,22.0028,138
spring,Mar,Wed,clear,2011,11,0,1,12.68,13.0004,51.0,22.0028,86
fall,Nov,Wed,clear,2012,12,0,1,7.98,5.001199999999997,61.0,19.0012,196
spring,Apr,Sun,cloudy,2012,23,0,0,9.86,9.9974,76.0,6.0032,42
summer,Jun,Sun,clear,2011,15,0,0,26.78,28.002199999999995,45.0,0.0,392
summer,Jul,Wed,clear,2012,23,0,1,26.78,28.9988,57.99999999999999,22.0028,192
winter,Feb,Thu,clear,2011,2,0,1,-2.3600000000000003,-6.001,50.0,8.9981,1
winter,Jan,Thu,clear,2011,20,0,1,2.34,-0.9982000000000006,47.0,11.0014,89
fall,Oct,Tue,clear,2012,11,0,1,18.320000000000004,18.9998,37.0,11.0014,211
winter,Mar,Thu,cloudy,2011,13,0,1,10.8,11.000600000000002,76.0,8.9981,99
summer,Jun,Sun,clear,2012,15,0,0,31.48,32.0018,30.0,22.0028,483
fall,Dec,Thu,cloudy,2011,17,0,1,8.919999999999998,7.9975999999999985,56.99999999999999,7.0015,396
spring,Mar,Sun,cloudy,2012,10,0,0,10.8,11.000600000000002,76.0,8.9981,313
winter,Feb,Mon,clear,2011,10,0,0,6.1,1.9982000000000009,45.0,22.0028,105
fall,Oct,Tue,cloudy,2011,11,0,1,10.8,11.000600000000002,71.0,15.0013,126
winter,Dec,Sun,clear,2012,2,0,0,4.220000000000001,-2.0013999999999985,44.0,35.0008,23
spring,May,Sun,clear,2012,13,0,0,24.9,26.002399999999994,37.0,8.9981,704
winter,Jan,Mon,clear,2012,15,0,0,10.8,11.000600000000002,37.0,19.0012,330
fall,Dec,Thu,rain,2011,9,0,1,12.68,13.0004,100.0,16.997899999999998,64
fall,Oct,Mon,cloudy,2012,6,0,0,12.68,13.0004,54.0,12.998,23
winter,Mar,Fri,clear,2012,4,0,1,12.68,13.0004,72.0,19.0012,2
fall,Nov,Sun,clear,2012,6,0,0,3.28,-2.0013999999999985,44.0,19.0012,10
summer,Aug,Wed,clear,2012,23,0,1,21.14,22.0028,83.0,0.0,136
winter,Mar,Fri,cloudy,2011,23,0,1,0.4599999999999991,-2.0013999999999985,43.0,6.0032,23
winter,Feb,Fri,rain,2012,16,0,1,7.98,7.9975999999999985,81.0,0.0,118
fall,Nov,Sun,clear,2012,15,0,0,6.1,1.9982000000000009,36.0,31.0009,198
winter,Jan,Tue,clear,2012,2,0,1,3.28,-2.0013999999999985,48.0,23.9994,7
spring,May,Fri,clear,2011,0,0,1,22.08,24.0026,73.0,8.9981,45
spring,Jun,Tue,clear,2012,16,0,1,23.020000000000003,24.9992,39.0,31.0009,448
winter,Feb,Fri,clear,2012,15,0,1,17.380000000000003,18.0032,33.0,8.9981,217
winter,Jan,Wed,clear,2012,18,0,1,13.62,13.997,63.0,30.0026,463
summer,Jul,Tue,clear,2012,18,0,1,27.72,30.9986,57.99999999999999,27.9993,812
spring,May,Fri,clear,2012,11,0,1,16.44,17.0,48.0,35.0008,256
winter,Mar,Sun,clear,2011,18,0,0,11.739999999999998,11.997200000000005,54.0,11.0014,145
fall,Nov,Wed,cloudy,2012,4,0,1,8.919999999999998,5.997799999999998,81.0,26.0027,9
winter,Jan,Thu,cloudy,2012,10,0,1,4.220000000000001,-0.9982000000000006,70.0,22.0028,141
winter,Jan,Wed,cloudy,2012,13,0,1,9.86,9.9974,76.0,22.0028,103
winter,Jan,Mon,clear,2012,11,0,0,-0.4799999999999995,-6.001,47.0,15.0013,165
fall,Oct,Sun,clear,2012,4,0,0,6.1,3.998000000000001,65.0,11.0014,11
spring,May,Fri,clear,2012,0,0,1,22.08,24.0026,69.0,8.9981,61
spring,Apr,Thu,rain,2011,12,0,1,11.739999999999998,11.997200000000005,82.0,16.997899999999998,95
fall,Nov,Thu,rain,2011,4,0,1,16.44,17.0,88.0,23.9994,5
spring,Jun,Tue,cloudy,2011,10,0,1,20.2,22.0028,78.0,16.997899999999998,91
summer,Jul,Fri,clear,2012,3,0,1,25.84,28.002199999999995,54.0,12.998,7
spring,Jun,Wed,clear,2011,5,0,1,19.26,20.003,88.0,11.0014,32
spring,May,Tue,rain,2012,6,0,1,16.44,17.0,94.0,19.9995,65
summer,Aug,Mon,clear,2012,21,0,0,22.08,22.0028,83.0,8.9981,166
summer,Jul,Wed,clear,2012,7,0,1,24.9,28.002199999999995,74.0,11.0014,516
summer,Jul,Fri,clear,2012,10,0,1,27.72,30.9986,57.99999999999999,12.998,198
summer,Jun,Sun,clear,2011,0,0,0,23.96,26.002399999999994,47.0,11.0014,116
spring,Apr,Thu,clear,2012,6,0,1,7.98,7.9975999999999985,66.0,0.0,106
